<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
30.06.14;181.3400000;188.9800000;180.3100000;188.4400000;732885
07.07.14;187.7400000;188.8900000;186.2400000;188.0100000;657250
14.07.14;188.6600000;195.9100000;188.2100000;192.1500000;1524518
21.07.14;191.2600000;195.8500000;189.3400000;194.3300000;1000496
28.07.14;194.3000000;196.3500000;188.8800000;189.1600000;961718
04.08.14;189.1450000;189.9000000;183.6000000;186.6000000;597306
11.08.14;187.4600000;188.8800000;186.3600000;187.4600000;406285
18.08.14;188.1900000;192.0600000;188.0800000;190.3600000;330798
25.08.14;191.5750000;194.1000000;190.6700000;192.2800000;257063
01.09.14;192.6400000;192.9500000;190.1000000;191.1900000;329561
08.09.14;190.7300000;192.7200000;189.5400000;191.2300000;509234
15.09.14;191.4200000;194.7900000;190.5800000;194.0000000;543439
22.09.14;193.6800000;194.0900000;188.6500000;190.0800000;3060175
29.09.14;188.2600000;190.8100000;186.2900000;188.6300000;487634
06.10.14;189.5100000;190.8700000;185.1100000;185.9100000;586584
13.10.14;185.3200000;186.6200000;178.7600000;182.0800000;1005627
20.10.14;166.9300000;170.3300000;161.2600000;162.0700000;2510129
27.10.14;161.8500000;165.5400000;161.8200000;164.3100000;1168090
03.11.14;164.3900000;164.5200000;160.0700000;161.9900000;684562
10.11.14;161.9000000;164.4600000;161.7700000;164.1500000;826799
17.11.14;164.2600000;164.9400000;159.8250000;160.9500000;1011104
24.11.14;161.5000000;163.8500000;161.0200000;162.1200000;803025
01.12.14;161.7700000;164.5000000;161.3600000;163.2800000;919136
08.12.14;163.1950000;163.1950000;155.3300000;155.5300000;1450717
15.12.14;155.7950000;160.4000000;150.5500000;158.5900000;1520970
22.12.14;158.6500000;163.0700000;158.6500000;162.3900000;547274
29.12.14;162.0100000;163.3100000;159.4700000;162.1000000;738915
05.01.15;161.2200000;161.2200000;154.0800000;159.2800000;1283341
12.01.15;158.9900000;159.9700000;153.7600000;157.1600000;1365237
19.01.15;156.9600000;157.5800000;151.0700000;155.8700000;11836761
26.01.15;158.5200000;159.4400000;149.5200000;153.3100000;2155283
02.02.15;153.9800000;158.7100000;151.5900000;156.6900000;1153289
09.02.15;155.8000000;160.7900000;155.1100000;160.4100000;972227
16.02.15;159.8700000;164.4900000;159.8200000;163.6500000;756593
23.02.15;164.2500000;164.9900000;159.7900000;161.9800000;1223185
02.03.15;161.8000000;161.8900000;158.0800000;158.4800000;984002
09.03.15;158.2200000;161.1500000;153.4300000;154.2900000;1121599
16.03.15;155.3200000;162.9600000;154.8800000;162.9500000;1001752
23.03.15;162.8950000;165.3400000;158.9100000;160.4700000;1142885
30.03.15;161.4400000;163.5600000;158.4100000;160.3600000;688386
06.04.15;159.6000000;163.8300000;158.7900000;162.9000000;642054
13.04.15;162.8000000;164.9300000;160.0400000;160.8700000;714388
20.04.15;162.0700000;171.9100000;162.0700000;169.7900000;1563853
27.04.15;170.6100000;175.1100000;170.0700000;173.5200000;1195580
04.05.15;174.5000000;176.2500000;168.9700000;172.6800000;728294
11.05.15;172.7000000;174.4100000;168.8400000;173.2400000;566512
18.05.15;173.0800000;174.4100000;171.9300000;172.2400000;454262
25.05.15;171.3100000;172.4700000;169.1500000;169.9300000;435234
01.06.15;170.2100000;171.5500000;167.2000000;167.4700000;460335
08.06.15;166.9500000;170.4300000;163.4000000;167.0300000;765456
15.06.15;165.1500000;168.6300000;164.2900000;167.1700000;616498
22.06.15;167.9500000;169.9400000;165.2600000;165.4600000;568033
29.06.15;163.8500000;165.5600000;162.1500000;165.0100000;352876
06.07.15;164.2600000;167.3800000;162.2800000;167.1000000;508207
13.07.15;167.9200000;172.5100000;167.9000000;172.5000000;533942
20.07.15;172.9400000;173.7700000;159.4200000;159.7500000;1223704
27.07.15;159.0100000;162.0200000;158.5200000;161.9600000;559573
03.08.15;161.3100000;161.8500000;154.3500000;155.0700000;645169
10.08.15;156.7100000;157.4400000;154.0100000;155.7800000;688268
17.08.15;155.6500000;156.6600000;150.6500000;150.6500000;661869
24.08.15;143.9000000;148.8700000;142.1900000;147.9000000;1370678
31.08.15;147.0100000;148.4000000;142.1100000;143.7600000;1315749
07.09.15;145.8500000;149.0200000;144.5300000;147.4400000;688764
14.09.15;147.2800000;149.6600000;143.9900000;144.5000000;695941
21.09.15;145.4500000;146.9500000;142.0000000;145.3600000;656389
28.09.15;144.9900000;145.6700000;140.5600000;144.4800000;841922
12.10.15;152.4000000;152.5450000;148.5900000;150.3600000;793288
19.10.15;149.7500000;149.9200000;139.3500000;144.7200000;1173832
26.10.15;144.8900000;144.9500000;137.3400000;140.1200000;1441439
02.11.15;140.3600000;142.7800000;137.8800000;138.1500000;845311
09.11.15;137.8200000;138.0100000;131.6500000;131.8000000;995707
16.11.15;131.9500000;138.9000000;131.9500000;138.4100000;740778
23.11.15;138.5700000;139.3300000;137.1200000;138.4600000;540259
30.11.15;138.6800000;141.3400000;138.2000000;140.3800000;919379
07.12.15;140.1500000;140.3500000;133.9500000;134.3700000;789166
14.12.15;135.1950000;139.6300000;134.0500000;134.9100000;1218607
