<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
16.12.19;134.9900000;136.4100000;133.4600000;135.6000000;1042578
23.12.19;135.8400000;136.1000000;134.6100000;135.2600000;500577
30.12.19;135.2600000;135.9100000;132.4500000;134.4700000;861426
06.01.20;133.2700000;137.8500000;133.2350000;136.7100000;972058
13.01.20;135.6900000;138.3100000;135.0700000;138.2900000;1386274
20.01.20;137.8100000;145.7900000;137.6200000;140.5600000;2457755
27.01.20;138.1800000;144.0300000;134.9800000;143.8000000;2937858
03.02.20;144.3100000;158.6700000;143.9500000;153.4500000;3564891
10.02.20;152.9700000;155.5800000;149.7700000;150.7700000;1593775
17.02.20;149.9200000;151.7200000;148.8600000;149.8200000;816627
24.02.20;145.5100000;148.0400000;126.4400000;129.8900000;2287156
02.03.20;130.6500000;135.7800000;124.5200000;127.5800000;2434624
09.03.20;120.1900000;124.8200000;100.8100000;107.8500000;5571846
16.03.20;98.0000000;107.3900000;94.7100000;95.3800000;3120227
23.03.20;94.7400000;113.1200000;90.6200000;107.9500000;3301082
30.03.20;107.8700000;113.8000000;104.5300000;106.3600000;2462671
06.04.20;110.4600000;122.9100000;110.1300000;121.4800000;1663766
13.04.20;121.6400000;125.1800000;114.4300000;120.1000000;2435291
20.04.20;119.1100000;124.9500000;112.6500000;124.7400000;2724203
27.04.20;125.6400000;129.2600000;121.4000000;121.8300000;1708468
04.05.20;120.8200000;124.3100000;119.4400000;122.9500000;1497947
11.05.20;121.8300000;124.3100000;111.8200000;116.9700000;2079609
18.05.20;119.8700000;122.4500000;117.6000000;118.4100000;1492888
25.05.20;121.2600000;126.9600000;121.0800000;125.0900000;1572186
01.06.20;124.6000000;134.2200000;124.1300000;132.0700000;996675
08.06.20;132.5000000;135.8600000;117.8600000;121.9100000;1915246
15.06.20;119.2000000;127.5000000;118.3000000;122.4700000;1040663
22.06.20;122.1000000;122.8500000;115.9000000;117.1600000;1225947
29.06.20;117.9800000;121.4200000;117.4100000;119.6700000;636593
06.07.20;121.4200000;121.7700000;115.2000000;118.3400000;1063060
13.07.20;119.7100000;125.6200000;117.9400000;125.2500000;1040538
20.07.20;126.0700000;132.1700000;125.1600000;125.8000000;1595745
27.07.20;124.9200000;126.3000000;121.1000000;122.9300000;918671
03.08.20;123.4200000;126.7300000;122.1800000;124.8600000;674589
10.08.20;125.3400000;130.4300000;123.9300000;125.2700000;812430
17.08.20;125.2300000;125.5400000;122.3700000;123.2000000;552487
24.08.20;123.7100000;126.8100000;123.3600000;125.0800000;793552
31.08.20;124.8700000;129.9300000;121.2400000;122.2950000;1310707
07.09.20;122.4300000;123.7000000;120.2800000;121.4700000;949436
14.09.20;122.3300000;125.8100000;121.7700000;122.7900000;747039
21.09.20;120.4500000;121.5500000;116.4950000;118.9100000;762538
28.09.20;120.5400000;123.2200000;118.8500000;120.5300000;530172
05.10.20;121.7800000;135.4900000;121.0600000;127.7700000;1186117
12.10.20;128.0700000;128.1600000;124.0000000;125.9000000;700642
19.10.20;126.8700000;127.2900000;105.9200000;111.6600000;2841388
